mbh, abh, mdisk0, ye0, s0, <vr>, <ye>, <T>, <rho>, t_max_tracer/t_max_sim, m_ej
2.58 & 0.00 & 0.12 & 0.10 & 4.00 & 0.066 & 0.16 & 2.26 & 4.056e+05 & 1.000 & 0.000951 \\
2.58 & 0.69 & 0.12 & 0.10 & 4.00 & 0.07 & 0.25 & 2.65 & 5.417e+05 & 127 \\
3.00 & 0.80 & 0.0002 & 0.50 & 8.00 & 0.064 & 0.50 & 0.75 & 8.080e+02 & 1.000 & 1.71e-07 \\
3.00 & 0.80 & 0.003 & 0.10 & 8.00 & 0.063 & 0.18 & 1.23 & 2.175e+04 & 1.000 & 6.03e-05 \\
3.00 & 0.80 & 0.0016 & 0.50 & 8.00 & 0.069 & 0.45 & 1.01 & 7.031e+03 & 1.000 & 2.22e-05 \\
3.00 & 0.80 & 0.02 & 0.10 & 8.00 & 0.067 & 0.22 & 1.63 & 6.953e+04 & 1.000 & 0.000213 \\
3.00 & 0.80 & 0.02 & 0.50 & 8.00 & 0.067 & 0.38 & 1.93 & 1.135e+05 & 1.000 & 0.000582 \\
3.90 & 0.64 & 0.289 & 0.34 & 6.56 & 0.101 & 0.36 & 2.91 & 6.530e+05 & 0.782 & 0.0134 \\
5.00 & 0.90 & 0.42 & 0.10 & 4.00 & 0.083 & 0.32 & 2.72 & 4.191e+05 & 1.000 & 0.0108 \\
5.25 & 0.61 & 0.183 & 0.39 & 7.57 & 0.069 & 0.32 & 1.71 & 7.234e+04 & 1.000 & 0.00201 \\
5.59 & 0.61 & 0.231 & 0.37 & 6.96 & 0.068 & 0.34 & 1.63 & 5.866e+04 & 1.000 & 0.00171 \\
5.68 & 0.84 & 0.196 & 0.44 & 4.65 & 0.082 & 0.36 & 1.52 & 3.535e+04 & 0.936 & 0.00103 \\
5.96 & 0.79 & 0.131 & 0.27 & 6.73 & 0.072 & 0.32 & 1.90 & 1.008e+05 & 1.000 & 0.00406 \\
6.00 & 0.75 & 0.143 & 0.15 & 8.00 & 0.070 & 0.30 & 1.78 & 7.944e+04 & 1.000 & 0.00289 \\
6.25 & 0.82 & 0.199 & 0.31 & 4.29 & 0.077 & 0.36 & 1.73 & 5.996e+04 & 0.984 & 0.00198 \\
6.37 & 0.78 & 0.133 & 0.48 & 6.02 & 0.080 & 0.38 & 1.20 & 1.304e+04 & 1.000 & 0.000499 \\
7.00 & 0.90 & 0.25 & 0.10 & 4.00 & 0.083 & 0.34 & 1.74 & 5.876e+04 & 1.000 & 0.00321 \\
8.13 & 0.71 & 0.044 & 0.35 & 5.07 & 0.075 & 0.34 & 0.88 & 2.909e+03 & 1.000 & 0.000199 \\
8.33 & 0.66 & 0.057 & 0.43 & 7.43 & 0.057 & 0.39 & 0.93 & 4.114e+03 & 1.000 & 0.000202 \\
8.48 & 0.77 & 0.114 & 0.34 & 6.27 & 0.071 & 0.33 & 1.22 & 1.555e+04 & 1.000 & 0.00101 \\
8.90 & 0.62 & 0.015 & 0.46 & 5.42 & 0.067 & 0.46 & 0.68 & 3.081e+02 & 1.000 & 1.43e-06 \\
9.08 & 0.77 & 0.072 & 0.33 & 6.40 & 0.072 & 0.32 & 1.02 & 5.980e+03 & 1.000 & 0.000603 \\
9.38 & 0.79 & 0.064 & 0.41 & 5.22 & 0.066 & 0.37 & 0.87 & 2.619e+03 & 1.000 & 0.000233 \\
9.68 & 0.74 & 0.109 & 0.42 & 5.66 & 0.080 & 0.39 & 0.85 & 2.525e+03 & 1.000 & 0.000321 \\
9.85 & 0.68 & 0.098 & 0.49 & 4.05 & 0.074 & 0.44 & 0.83 & 2.060e+03 & 1.000 & 0.000186 \\
10.00 & 0.80 & 0.082 & 0.20 & 8.00 & 0.089 & 0.27 & 1.06 & 7.709e+03 & 0.731 & 0.000585 \\
